店名,地址,星星,人均,评论数
沪上阿姨(sm广场店),木环一层中庭与sm百货之间扶梯旁,40,￥15,219
沪上阿姨(宝坻南关大街店),南关大街110号,35,-,5
沪上阿姨(武清名都百货店),名都时尚街A04号,35,-,12
沪上阿姨(油田幸福路店),幸福路666号,35,-,14
沪上阿姨,武定街2号,35,-,3
沪上阿姨(全运村店),双林道与桔林路交叉口麦李园2号楼底商,35,-,9
沪上阿姨(大港胜利街店),大港街胜利街654号附近小友谊底商,35,￥19,25
沪上阿姨(保利金街店),东蒲洼街保利上河雅苑南里24-1-102,35,-,1
沪上阿姨(嘉华国际店),新开路嘉华国际商业中心底商,50,￥14,209
沪上阿姨(图书大厦店),大沽南路386号天津图书大厦南行150米,45,￥12,2204
沪上阿姨(永旺梦乐城店),梅江永旺梦乐城3层301,35,-,3
沪上阿姨(嘉华里店),成林道嘉华小区与唐家口二号路交口,35,-,5
沪上阿姨(张家窝店),张家窝镇祥和大道田丽小区3号门脸,35,-,5
沪上阿姨(咸水沽店),咸水沽镇剧场西里文苑公寓底商,40,￥17,48
沪上阿姨(熙悦汇店),黄河道513号熙悦汇购物中心4层,35,￥12,783
沪上阿姨(鞍山西道店),鞍山西道328号,45,￥12,577
沪上阿姨(咸水沽店),咸水沽镇剧场西里文苑公寓底商,40,￥17,48
沪上阿姨(天涛园店),天涛园底商,35,-,11
沪上阿姨(保利金街店),东蒲洼街保利上河雅苑南里24-1-102,35,-,1
沪上阿姨(张家窝店),张家窝镇祥和大道田丽小区3号门脸,35,-,5
沪上阿姨(永旺梦乐城店),梅江永旺梦乐城3层301,35,-,3
沪上阿姨(嘉华里店),成林道嘉华小区与唐家口二号路交口,35,-,5
沪上阿姨(双港店),赤龙街金地格林棕榈苑34D-底商8号,40,￥12,23
沪上阿姨(凯德mall天津湾店),南北大街1号天津湾凯德mall天津湾3层,45,￥13,1281
沪上阿姨,天津经济技术开发区永旺梦乐城一层,35,￥10,35
沪上阿姨,金钟河大街新村北里2号楼底商,35,-,3
沪上阿姨(迎风道店),迎风道5号,40,￥12,30
