店名,地址,星星,人均,评论数
一点点(东联店),东联路12号,35,-,3
一点点(万达广场店),科丰路89号万达广场萝岗香雪商业街1层,40,￥11,33
1点点(人和店),人和大马路27号,35,￥12,97
1点点(太子步行街店),新华街商业大道17号首层之13号铺,35,￥13,23
1点点(祈福缤纷世界店),学院路祈福缤纷世界1层家兴四街42号,30,-,20
一点点,吉祥北街19栋8号,35,-,19
1點點(花城汇店),冼村街道花城广场珠江东路30号东花城汇南区B1层B21a,35,￥13,502
一点点,朝阳西路40号,35,￥14,46
1点点(黄埔店),大沙地东188号,35,￥11,115
1點點(星緣商業街店),桂花路8号首层35号,35,￥14,46
1点点(永泰店),永平街永康路62-2号,40,￥13,56
1點點(中山八路店),中山八路53-1号,35,￥13,255
一点点,龙洞步行街喷水池往龙洞小学方向50米,40,￥13,112
1點點(宝华路店),宝华路39号宝华豪庭,35,￥14,190
一点点(富华西店),市桥街富华西路1号首、二层广州市番禺港禺坊首层2号铺,35,￥13,154
一点点(东联店),东联路12号,35,-,3
一点点(万达广场店),科丰路89号万达广场萝岗香雪商业街1层,40,￥11,33
1点点(人和店),人和大马路27号,35,￥12,97
1点点(太子步行街店),新华街商业大道17号首层之13号铺,35,￥13,23
1点点(祈福缤纷世界店),学院路祈福缤纷世界1层家兴四街42号,30,-,20
一点点,吉祥北街19栋8号,35,-,19
1點點(花城汇店),冼村街道花城广场珠江东路30号东花城汇南区B1层B21a,35,￥13,502
一点点,朝阳西路40号,35,￥14,46
1点点(黄埔店),大沙地东188号,35,￥11,115
1點點(星緣商業街店),桂花路8号首层35号,35,￥14,46
1点点(永泰店),永平街永康路62-2号,40,￥13,56
1點點(中山八路店),中山八路53-1号,35,￥13,255
一点点,龙洞步行街喷水池往龙洞小学方向50米,40,￥13,112
1點點(宝华路店),宝华路39号宝华豪庭,35,￥14,190
一点点(富华西店),市桥街富华西路1号首、二层广州市番禺港禺坊首层2号铺,35,￥13,154
